word,def,sentiment,
Abo'minableness.,"The quality of being abominable; hatefulness, odiousness.",,
Abo'minably.,"A word of low or familiar language, signifying excessively, extremely, exceedingly; in the ill sense.",,
To ABO'MINATE.,"To abhor, detest, hate utterly.",,
Abomina'tion.,"1. Hatred, detestation; 2. The object of hatred. 3. Pollution, defilement. 4. The cause of pollution.",,
ABORI'GINES.,"The earliest inhabitants of a country; those of whom no original is to be traced; as, the Welsh in Britain.",,
To ABO'RT.,To bring forth before the time; to miscarry.,,
Abo'rtion.,1. The act of bringing forth untimely. 2. The produce of an untimely birth.,,
Abo'rtive.,That which is born before the due time.,,
Abo'rtive.,"1. That which is brought forth before the due time of birth. 2. Figuratively, that which fails for want of time. 3. That which brings forth nothing.",,
Abo'rtively.,"Born without the due time; immaturely, untimely.",,
Abo'rtiveness.,The state of abortion.,,
Abo'rtment.,The thing brought forth out of time; an untimely birth.,,
To ABO'UND.,1. To have in great plenty; 2. To be in great plenty.,,
Abo'ut. To bring about; To come about; To go about a thing;,"1. Circularly. 2. In circuit. 3. Nearly. 4. Here and there; every way. upon the point, within a small distance of. 6. The longest way, in opposition to the short straight way. to bring to the point or state desired; to come to some certain state or point. to prepare to do it. Some of these phrases seem to derive their original from the French á bout; venir á bout d'une chose; venir á bout de quel-qu'un.",,
Abo've.,1. Over-head. 2. In the regions of heaven. 3. Before.,,
Above All.,In the first place; chiefly.,,
Above-board.,In open sight; without artifice or trick.,,
Above-ground.,"An expression used to signify, that a man is alive; not in the grave.",,
ABRACADA'BRA.,A superstitious charm against agues.,,
To ABRA'DE.,To rub off; to wear away from the other parts; to waste by degrees.,,
Abre'ast.,Side by side; in such a position that the breasts may bear against the same line.,,
To ABRI'DGE.,"1. To make shorter in words, keeping still the same substance. 2. To contract, to diminish, to cut short. 3. To deprive of;",,
Abri'dged Of.,"Deprived of, debarred from, cut short.",,
An Abri'dger.,1. He that abridges; a shortener. 2. A writer of compendiums or abridgments.,,
Abri'dgment.,"1. The contraction of a larger work into a small compass. 2. A diminution in general. 3. Restraint, or abridgment of liberty.",,
Abro'ach.,1. In a posture to run out; to yield the liquor contained; in a state to be diffused or advanced; in a state of such beginning as promises a progress.,,
Abro'ad.,"1. Without confinement; widely; at large. 2. Out of the house. 3. In another country. 4. In all directions, this way and that. 5. Without, not within.",,
To A'BROGATE.,"To take away from a law its force; to repeal, to annul.",,
Abroga'tion.,The act of abrogating; the repeal of a law.,,
To Abro'ok.,"To brook, to bear, to endure.",,
ABRU'PT.,"1. Broken, craggy. 2. Divided, without any thing intervening. 3. Sudden, without the customary or proper preparatives. 4. Unconnected.",,
Abru'pted.,Broken off suddenly.,,
Abru'ption.,"Breaking off, violent and sudden separation.",,
Abru'ptly.,"Hastily, without the due forms of preparation.",,
Abru'ptness.,"1. An abrupt manner, haste, suddenness, untimely vehemence. 2. The state of an abrupt thing; unconnectedness, roughness, cragginess.",,
A'bscess.,A morbid cavity in the body; a tumour filled with matter;,,
To Absci'nd.,"To cut off,",,
ABSCI'SSA.,"Part of the diameter of a conic section, intercepted between the vertex and a semi-ordinate.",,
Absci'ssion.,1. The act of cutting off. 2. The state of being cut off.,,
To ABSCO'ND.,To hide one's self; to retire from the public view:,,
Absco'nder.,The person that absconds.,,
A'bsence.,"1. The state of being absent, opposed to presence. 2. Want of appearance, in the legal sense. 3. Inattention, heedlessness, neglect of the present object.",,
A'BSENT.,"1. Not present; 2. Absent in mind, inattentive; regardless of the present object.",,
To Abse'nt.,"To withdraw, to forbear to come into presence.",,
Absenta'neous.,Relating to absence; absent.,,
Absente'e.,"He that is absent from his station or employment, or country.",,
To Absi'st.,"To stand off, to leave off.",,
A'bsolute.,"1. Complete; 2. Unconditional; 3. Not relative; 4. Not limited; as, absolute power. 5. Positive, certain, without any hesitation.",,
A'bsolutely.,"1. Completely, without restriction. 2. Without relation. 3. Without limits or dependance. 4. Without condition. 5. Peremptorily, positively.",,
A'bsoluteness.,"1. Compleatness. 2. Freedom from dependance, or limits. 3. Despoticism.",,
Absolu'tion.,"1. Acquittal. 2. The remission of sins, or penance, declared by ecclesiastical authority.",,
A'bsolutory.,That which absolves.,,
To ABSO'LVE.,"1. To clear, to acquit of a crime in a judicial sense. 2. To set free from an engagement or promise. 3. To pronounce a sin remitted, in the ecclesiastical sense. 4. To finish, to complete.",2.5,
A'bsonant.,"Contrary to reason, wide from the purpose.",,
A'bsonous.,"Absurd, contrary to reason.",,
To Abso'rb.,1. To swallow up. 2. To suck up.,,
Abso'rpt.,Swallowed up;,,
Abso'rption.,The act of swallowing up.,,
To ABSTA'IN.,"To forbear, to deny one's self any gratification;",,
ABSTE'MIOUS.,"Temperate, sober, abstinent, refraining from excess or pleasures.",,
Abste'miously.,"Temperately, soberly, without indulgence.",,
Abste'miousness.,The quality of being abstemious.,,
Abste'ntion.,"The act of holding off, or restraining; restraint.",,
To ABSTE'RGE.,To cleanse by wiping; to wipe.,,
Ab'stergent.,Cleansing; having a cleansing quality.,,
To Abste'rse.,"To cleanse, to purify;",,
Abste'rsion.,The act of cleansing.,,
Abste'rsive.,That has the quality of absterging or cleansing.,,
A'bstinence.,"1. Forbearance of any thing; 2. Fasting, or forbearance of necessary food.",,
A'bstinent.,"That uses abstinence, in opposition to covetous, rapacious, or luxurious.",,
Absto'rted.,"Forced away, wrung from another by violence.",,
To ABSTRA'CT.,1. To take one thing from another. 2. To separate ideas. 3. To reduce to an epitome.,,
A'bstract.,"1. Separated from something else,",,
A'bstract.,"1. A smaller quantity, containing the virtue or power of a greater. 2. An epitome made by taking out the principal parts. 3. The state of being abstracted.",,
A'bstracted.,"1. Separated. 2. Refined, abstruse. 3. Absent of mind, inattentive to present objects;",,
Abstra'ctedly.,"With abstraction, simply, separately from all contingent circumstances.",,
Abstra'ction.,"1. The act of abstracting. 2. The state of being abstracted. 3. Absence of mind, inattention. 4. Disregard of worldly objects.",,
Abstra'ctive.,Having the power or quality of abstracting.,,
Abstra'ctly.,"In an abstract manner, absolutely, without reference to any thing else.",,
Abstri'cted.,Unbound.,,
To Abstri'nge.,To unbind.,,
To ABSTRU'DE.,"To thrust off, or pull away.",,
Abstru'se.,"1. Hidden. 2. Difficult, remote from conception or apprehension. It is opposed to obvious and easy.",,
Abstru'sely.,"In an abstruse manner; obscurely, not plainly, or obviously.",,
Abstru'seness.,"The quality of being abstruse; difficulty, obscurity.",,
Abstru'sity.,1. Abstruseness. 2. That which is abstruse.,,
To Absu'me.,To bring to an end by a gradual waste; to eat up.,,
ABSU'RD.,"1. Unreasonable, without judgment, 2. Inconsistent, contrary to reason,",,
Absu'rdity.,1. The quality of being absurd; want of judgment applied to men; want of propriety applied to things. 2. That which is absurd;,,
Absu'rdly.,"After an absurd manner; improperly, unreasonably.",,
Absu'rdness.,"The quality of being absurd; injudiciousness, impropriety.",,
Abu'ndance.,"1. Plenty; 2. Great numbers. 3. A great quantity. 4. Exuberance, more than enough.",,
Abu'ndant.,1. Plentiful. 2. Exuberant. 3. Fully stored.,,
Abu'ndantly.,"1. In plenty. 2. Amply, liberally, more than sufficiently.",,
To ABU'SE.,"1. To make an ill use of. 2. To deceive, to impose upon. 3. To treat with rudeness, to reproach.",-3,
Abu'se.,"1. The ill use of any thing. 2. A corrupt practice, bad custom. 3. Seducement. 4. Unjust censure, rude reproach, contumely.",-3,
Abu'ser.,"1. He that makes an ill use. 2. He that deceives. 3. He that reproaches with rudeness. 4. A ravisher, a violater.",,
Abu'sive.,1. Practising abuse. 2. Containing abuse; 3. Deceitful;,-3,
Abu'sively.,"1. Improperly, by a wrong use. 2. Reproachfully.",-3,
Abu'siveness.,The quality of being abusive; foulness of language.,,
To ABU'T.,"To end at, to border upon; to meet, or approach to,",,
Abu'tment.,"That which abuts, or borders upon another.",,
Abu'ttal.,"The butting or boundaries of any land. A writing declaring on what lands, highways, or other places, it does abut.",,
Aby'sm.,A gulf; the same with abyss.,,
Aby'ss.,"1. A depth without bottom. 2. A great depth, a gulph. 3. In a figurative sense, that in which any thing is lost. 4. The body of waters supposed at the center of the earth. 5. In the language of divines, hell.",,
Acade'mial.,"Relating to an academy, beionging to an academy.",,
Acade'mian.,A scholar of an academy or university; a member of an university.,,
Acade'mical.,Belonging to an university.,,
Academi'cian.,The member of an academy.,,
Acade'mick.,A student of an university.,,
Acade'mick.,Relating to an university.,,
Aca'demist.,The member of an academy.,,
A'CADEMY.,"1. An assembly or society of men, uniting for the promotion of some art. 2. The place where sciences are taught. 3. An university. 4. A place of education, in contradistinction to the universities or public schools.",,
Acatale'ctic.,"A verse which has the compleat number of syllables, without defect or superfluity.",,
To ACCE'DE.,"To be added to, to come to;",,
To ACCE'LERATE.,"1. To make quick, to hasten, to quicken motion; to give a continual impulse to motion, so as perpetually to encrease.",,
Accelera'tion.,"1. The act of quickening motion. 2. The state of the body accelerated, or quickened in its motion.",,
To ACCE'ND.,"To kindle, to set on fire;",,
Acce'nsion.,"The act of kindling, or the state of being kindled.",,
A'CCENT.,"1. The manner of speaking or pronouncing, with regard either to force or elegance. the marks made upon syllables to regulate their pronunciation. language or words. 4. A modification of the voice, expressive of the passions or sentiments.",,
To Acce'nt.,"1. To pronounce, to speak words with particular regard to the grammatical marks or rules. to pronounce or utter in general. 3. To write or note the accents.",,
To Acce'ntuate.,To place the proper accents over the vowels.,,
Accentua'tion.,1. The act of placing the accent in pronunciation. 2. Marking the accent in writing.,,
To ACCE'PT.,"1. To take with pleasure; to receive kindly; to admit with approbation. 3. In the language of the bible, to accept persons, is to act with personal and partial regard.",,
Acceptabi'lity.,The quality of being acceptable.,,
Acce'ptable.,1. That which is likely to be accepted; grateful; pleasing.,,
Acce'ptableness.,The quality of being acceptable.,,
Acce'ptably.,In an acceptable manner; so as to please;,,
Acce'ptance.,1. Reception with approbation. 2. The meaning of a word as it is received or understood; acceptation.,,
Acce'ptance.,"The receiving of a rent, whereby the giver binds himself, for ever, to allow a former fact done by another, whether it be in itself good or not.",3,
Accepta'tion.,"1. Reception, whether good or bad. 2. Good reception, acceptance. 3. The state of being acceptable, regard. 4. Acceptance in the juridical sense. 5. The meaning of a word, as it is commonly received.",2,
An Acce'pter.,The person that accepts.,,
Acceptila'tion.,"importing the remission of a debt by an acquittance from the creditor, testifying the receipt of money which has never been paid.",,
Acce'ption.,The received sense of a word; the meaning.,,
ACCE'SS.,"1. The way by which any thing may be approached. 2. The means, or liberty, of approaching either to things or men. 3. Encrease, enlargement, addition. 4. It is sometimes used, after the French, to signify the returns or fits of a distemper;",,
A'ccessariness.,The state of being accessary.,,
A'ccessary.,"That which, without being the chief agent in a crime, contributes to it.",-2,
Acce'ssible.,That which may be approached; that which we may reach or arrive at.,,
Acce'ssion.,"1. Encrease by something added, enlargement, augmentation. 2. The act of coming to, or joining one's self to; 3. The act of arriving at;",,
A'ccessorily.,In the manner of an accessory.,,
A'ccessory.,"Joined to another thing, so as to increase it; Additional.",,
A'ccidence.,"The little book containing the first rudiments of grammar, and explaining the properties of the eight parts of speech.",,
A'CCIDENT.,"1. The property or quality of any being, which may be separated from it, at least in thought. the property of a word. 3. That which happens unforeseen; casualty, chance.",,
Accide'ntal.,A property nonessential.,,
Accide'ntal.,"1. Having the quality of an accident, nonessential; 2. Casual, fortuitous, happening by chance. 3. In the following passage it seems to signify adventitious.",,
Accide'ntally.,"1. After an accidental manner; nonessentially. 2. Casually, fortuitously.",,
Accide'ntalness.,The quality of being accidental.,,
Acci'pient.,"A receiver, perhaps sometimes used for recipient.",,
To Acci'te.,"To call, to summons;",,
Accla'im.,A shout of praise acclamation.,,
Acclama'tion.,Shouts of applause; such as those with which a victorious army salutes the general.,,
Accli'vity.,"The steepness or slope of a line inclining to the horizon, reckoned upwards; as, the ascent of an hill is the acclivity, the descent is the declivity.",,
To Acclo'y.,"1. To fill up, in an ill sense; to croud, to stuff full; 2. To fill to satiety;",-2,
To Acco'il.,"To croud, to keep a coil about, to bustle, to be in a hurry;",,
A'ccolent.,He that inhabits near a place; a borderer.,,
Acco'mmodable.,That which may be fitted;,,
To ACCO'MMODATE.,"1. To supply with conveniencies of any kind. to adapt, to fit, to make consistent with.",2.5,
Accommo'date.,"Suitable, fit;",,
Acco'mmodately.,"Suitably, fitly.",,
Accommoda'tion.,"1. Provision of conveniencies. conveniencies, things requisite to ease or refreshment. 3. Adaptation, fitness; 4. Composition of a difference, reconciliation, adjustment.",,
Acco'mpanable.,Sociable;,,
Acco'mpanier.,The person that makes part of the company; companion.,,
To ACCO'MPANY.,1. To be with another as a companion. 2. To join with.,,
Acco'mplice.,"1. An associate, a partaker, 2. A partner, or co-operator;",,
To ACCOMPLISH.,"1. To complete, to execute fully; as, to accomplish a design. 2. To complete a period of time. 3. To fulfil; as, a prophecy. 4. To gain, to obtain. 5. To adorn, or furnish, either mind or body.",,
Acco'mplished.,"1. Complete in some qualification. 2. Elegant, finished in respect of embellishments;",3,
Acco'mplisher.,The person that accomplishes.,,
Acco'mplishment.,"1. Completion, full performance, perfection. 2. Completion; as, of a prophecy. 3. Embellishment, elegance, ornament of mind or body. 4. The act of obtaining any thing.",,
Acco'mpt.,"An account, a reckoning.",,
Acco'mptant.,"A reckoner, computer.",,
Acco'mpting-day.,The day on which the reckoning is to be settled.,,
To ACCO'RD.,To make agree; to adjust one thing to another;,,
To Acco'rd.,"To agree, to suit one with another;",,
Acco'rd.,"1. A compact; an agreement. 2. Concurrence, union of mind. 3. Harmony, symmetry, just correspondence of one thing with another. 4. Musical note. 5. Voluntary motion. 6. Action in speaking, correspondent to the words.",2,
Acco'rdance.,1. Agreement with a person; 2. Conformity to something.,,
Acco'rdant.,Willing; in a good humour.,2.75,
Acco'rdingly.,"Agreeably, suitably, conformably.",,
To ACCO'ST.,To speak to first; to address; to salute.,,
Acco'stable.,Easy of access; familiar.,,
ACCO'UNT.,"1. A computation of debts or expences; a register of facts relating to money. 2. The state or result of a computation; 3. Such a state of persons or things, as may make them more or less worthy of being considered in the reckoning. Value, or estimation. 4. Distinction, dignity, rank. 5. A reckoning verified by finding the value of a thing equal to what it was accounted. 6. A reckoning referred to, or sum charged upon any particular person; and thence, figuratively, regard, consideration, sake. 7. A narrative, relation; 8. The review or examination of an affair taken by authority; 9. The relation and reasons of a transaction given to a person in authority. 10. Explanation; assignment of causes. 11. An opinion concerning things previously established. 12. The reasons of any thing collected.",1.5,
To Acco'unt.,"1. To esteem, to think, to hold in opinion. 2. To reckon, to compute. 3. To give an account, to assign the causes; 4. To make up the reckoning; to answer for practices. 5. To appear as the medium by which any thing may be explained. 6. To assign to, 7. To hold in esteem.",,
Acco'unt-book.,A book containing accounts.,,
Acco'untable.,Of whom an account may be required; who must answer for:,,
Accou'ntant.,Accountable to; responsible for.,,
Accou'ntant.,A computer; a man skilled or employed in accounts.,2,
Acco'unting.,"The act of reckoning, or making up of accounts.",,
To Acco'uple.,"To join, to link together.",,
To Acco'urage.,To animate.,,
To Acco'urt.,"To entertain with courtship, or courtesy;",,
To ACCOUTRE.,"To dress, to equip.",,
Acco'utrement.,"Dress, equipage, furniture relating to the person; trappings, ornaments.",,
Accre'tive.,Growing; that which by growth is added.,,
To ACCRO'ACH.,"To draw to one as with a hook; to gripe, to draw away by degrees what is another's.",,
Accro'achment.,The act of accroaching.,,
To ACCRUE.,"1. To accede to, to be added to; as, a natural production or effect, without any particular respect to good or ill. 2. To be added, as an advantage or improvement, in a sense inclining to good rather than ill; 3. To append to, or arise from; as, an ill consequence; to be produced, or arise; as, profits. 5. Sometimes to follow, as loss;",2,
Accuba'tion.,The antient posture of leaning at meals.,,
To Accu'mb.,"To lie at the table, according to the ancient manner.",,
To ACCU'MULATE.,"To heap one thing upon another; to pile up, to heap together.",,
Accumula'tion.,1. The act of accumulating. 2. The state of being accumulated.,,
Accu'mulative.,1. That which accumulates. 2. That which is accumulated.,,
Accumula'tor.,He that accumulates; a gatherer or heaper together.,,
A'ccuracy.,"Exactness, nicety.",,
A'CCURATE.,"1. Exact, as opposed to negligence or ignorance, 2. Exact, without defect or failure,",,
A'ccurately.,"In an accurate manner; exactly, without errour, nicely.",,
A'ccurateness.,"Exactness, nicety.",,
To Accu'rse.,To doom to misery; to invoke misery upon any one.,-3,
Accu'rsed.,"1. That which is cursed or doomed to misery. 2. That which deserves the curse; execrable; hateful; detestable; and, by consequence, wicked; malignant.",-3,
Accu'sable.,That which may be censured; blamable; culpable.,,
Accusa'tion.,1. The act of accusing. 2. The charge brought against any one by the accuser. 3. In the sense of the courts ——,,
Accu'sative.,"signifying the relation of the noun, on which the action implied in the verb terminates.",,
Accu'satory.,That which produceth or containeth an accusation.,,
To ACCU'SE.,"1. To charge with a crime. 3. To blame or censure, in opposition to applause or justification.",-2,
Accu'ser.,He that brings a charge against another.,,
To ACCU'STOM.,"To habituate, to enure,",,
Accu'stomable.,"Of long custom or habit; habitual, customary.",,
Accu'stomably.,According to custom.,,
Accu'stomance.,"Custom, habit, use.",,
Accu'stomarily.,In a customary manner; according to common or customary practice.,,
Accu'stomary.,"Usual, practised; according to custom.",,
Accu'stomed.,According to custom; frequent; usual.,,
A'ce.,1. An unit; a single point on cards or dice. 2. A small quantity.,,
Ace'phalous.,Without a head.,,
Ace'rb.,"Acid, with an addition of roughness, as most fruits are before they are ripe.",,
Ace'rbity.,1. A rough sower taste. sharpness of temper; severity.,,
To ACE'RVATE.,To heap up.,,
Acerva'tion.,The act of heaping together.,,
Ace'rvose.,Full of heaps.,,
Ace'scent.,That which has a tendency to sourness or acidity.,,
Aceto'se.,That which has in it acids or vinegar.,,
Ace'tous.,"Having the quality of vinegar, sour.",,
Ache.,A continued pain.,-3,
To Ache.,To be in pain.,-3,
To ACHI'EVE.,"1. To perform, to finish a design prosperously. 2. To gain, to obtain.",,
An Achi'evement.,"1. The performance of an action. 2. The escutcheon, or ensigns armorial, granted to any man for the performance of great actions.",,
An Achi'ever.,He that performs; he that obtains what he endeavours after.,,
A'CID.,"Sour, sharp.",,
Aci'dity.,The quality of being acid; an acid taste; sharpness; sourness.,,
A'cidness.,The quality of being acid; acidity.,,
